ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL425304,,,Small molecule,0,508.04,1,1,2.99,90.39,6,1,1,7,N,0.62,None,6.72,2.91,2.83,2,MOL,-1,34,8,1,1,507.1595,NEUTRAL,C24H30ClN3O5S,O=C(OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1
CHEMBL3742151,,,Small molecule,0,514.62,1,2,4.35,105.20,8,0,1,1,N,0.22,None,None,3.69,3.69,0,MOL,-1,37,8,0,1,514.2567,NEUTRAL,C29H38O8,CC(=O)O[C@H]1CC(=O)OC(C)(C)[C@@H]2CC[C@]3(C)[C@H](CC=C(C)[C@@]34C[C@]3(OC(C)=C(C)C3=O)C(=O)O4)[C@@]12C
CHEMBL4228027,,,Small molecule,0,387.48,2,3,3.61,56.67,4,1,0,4,N,0.70,8.83,6.98,3.61,3.56,3,MOL,-1,29,5,1,0,387.1947,NEUTRAL,C24H25N3O2,Cc1ccccc1/C=C/C(=O)N1CCN(Cc2ccc(O)c3ncccc23)CC1
CHEMBL4435800,,,,0,527.66,8,16,5.36,93.45,6,3,2,12,N,0.28,3.81,3.12,5.37,2.56,3,MOL,-1,37,7,2,2,527.2254,ACID,C28H34FN3O4S,CCOc1nc(CC)c(CNC(=O)[C@@H](S)CC(C)C)n1Cc1ccc(-c2ccccc2C(=O)O)cc1F
CHEMBL197478,,,Small molecule,0,398.42,4,23,1.86,139.12,6,6,1,8,N,0.23,8.92,None,1.78,1.77,2,MOL,-1,29,8,6,1,398.1478,NEUTRAL,C21H22N2O6,O=C(/C=C/c1ccc(O)c(O)c1)NCCCNC(=O)/C=C/c1ccc(O)c(O)c1
CHEMBL3326707,,,Small molecule,0,483.61,5,5,5.93,84.23,5,2,1,9,N,0.23,None,8.89,5.53,4.19,4,MOL,-1,36,6,2,1,483.2522,BASE,C30H33N3O3,Cc1ccc2oc(=O)c(C(=O)NCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1
CHEMBL3330741,,,Small molecule,0,547.66,2,4,7.36,78.51,6,2,2,6,N,0.17,6.83,None,7.08,6.42,5,MOL,-1,39,6,2,2,547.1024,NEUTRAL,C31H21N3O3S2,O=C1NC(=O)C(=Cc2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)C(=O)N1
CHEMBL4165386,,,Small molecule,0,561.58,5,6,4.76,112.29,11,2,2,6,N,0.30,12.49,5.90,6.47,6.46,5,MOL,-1,41,11,2,2,561.2325,NEUTRAL,C27H26F3N11,Cc1ccc(Nc2nc(Nc3cccc(C(F)(F)F)c3)nc(N3CCN(c4cc(C)nc5ncnn45)CC3)n2)cc1
CHEMBL3087683,,,Small molecule,0,513.61,7,10,4.63,87.30,5,3,1,12,N,0.31,None,9.92,3.72,1.27,3,MOL,-1,38,6,3,1,513.2428,BASE,C31H32FN3O3,CC(C(=O)NCCCNCCCNC1=CC(=O)c2ccccc2C1=O)c1ccc(-c2ccccc2)c(F)c1
CHEMBL231447,,,Small molecule,0,520.1,1,1,4.84,78.95,5,1,1,9,N,0.48,None,9.19,4.60,2.80,2,MOL,-1,35,7,1,1,519.1959,BASE,C26H34ClN3O4S,CN1CCCC1CCNC(=O)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1
CHEMBL231647,,,Small molecule,0,568.14,1,1,5.63,78.95,5,1,2,8,N,0.38,None,8.41,5.29,4.24,3,MOL,-1,39,7,1,2,567.1959,NEUTRAL,C30H34ClN3O4S,O=C(NC1CCN(Cc2ccccc2)CC1)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1
CHEMBL3667032,,,Small molecule,0,440.45,4,12,3.22,108.36,8,1,0,11,N,0.32,9.29,None,3.89,3.89,2,MOL,-1,32,8,1,0,440.1471,NEUTRAL,C24H24O8,COC(=O)COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC
CHEMBL1744463,,,Small molecule,0,267.33,2,2,2.66,62.39,5,1,0,2,N,0.76,8.94,5.04,2.53,2.51,3,MOL,-1,19,5,1,0,255.1008,NEUTRAL,C14H13N3O2,[3H]C([3H])([3H])N(c1ccc(-c2nc3ccc(O)cc3o2)cn1)C([3H])([3H])[3H]
CHEMBL3814349,,,Small molecule,0,318.3,1,2,3.84,63.83,4,2,0,3,N,0.77,None,6.86,3.94,3.84,3,MOL,-1,23,4,3,0,318.1092,NEUTRAL,C16H13F3N4,Nc1nc(NCc2cccc(C(F)(F)F)c2)c2ccccc2n1
CHEMBL4516540,,,,0,546.71,6,9,4.38,105.14,6,4,1,16,N,0.16,7.76,9.35,3.50,1.86,3,MOL,-1,40,8,4,1,546.3206,BASE,C32H42N4O4,CCN(CCCNC(=O)c1cc(O)c(C(=O)NCCCN(CC)Cc2ccccc2)cc1O)Cc1ccccc1
CHEMBL3814611,,,Small molecule,0,318.3,1,2,3.84,63.83,4,2,0,3,N,0.77,None,6.78,3.94,3.85,3,MOL,-1,23,4,3,0,318.1092,NEUTRAL,C16H13F3N4,Nc1nc(NCc2ccc(C(F)(F)F)cc2)nc2ccccc12
CHEMBL1077208,,,Small molecule,0,284.34,2,2,2.50,80.90,5,2,0,3,N,0.77,13.71,3.73,1.63,1.63,3,MOL,-1,20,5,3,0,284.0732,NEUTRAL,C14H12N4OS,CNc1ccc2nc(-c3ccc(C(N)=O)nc3)sc2c1
CHEMBL4444093,,,,0,434.46,5,16,0.42,147.82,8,4,0,6,N,0.34,10.19,5.51,0.00,-0.01,4,MOL,-1,32,12,4,1,434.1927,NEUTRAL,C20H22N10O2,O=C(CN1CCN(CC(=O)Nc2n[nH]c3ncccc23)CC1)Nc1n[nH]c2ncccc12
CHEMBL4163412,,,Small molecule,0,364.21,5,6,5.11,62.73,5,2,1,4,N,0.67,12.11,0.97,6.26,6.26,3,MOL,-1,24,5,2,1,363.0454,NEUTRAL,C16H12Cl2FN5,Cc1ccc(Nc2nc(Cl)nc(Nc3ccc(F)c(Cl)c3)n2)cc1
CHEMBL4176742,,,Small molecule,0,490.88,5,18,3.36,100.26,10,1,0,4,N,0.46,12.13,2.52,4.75,4.75,4,MOL,-1,34,10,1,0,490.1357,NEUTRAL,C20H18ClF3N10,Cc1cc(N2CCN(c3nc(Cl)nc(Nc4cccc(C(F)(F)F)c4)n3)CC2)n2ncnc2n1
CHEMBL4552863,,,,0,320.11,2,3,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,320.0856,None,C18H13BO5,OB1Oc2ccc3cc(O)ccc3c2C=C1c1cc(O)cc(O)c1
CHEMBL2059205,,,Small molecule,0,402.5,3,9,4.36,72.72,6,2,0,6,N,0.64,9.37,3.93,4.81,4.80,3,MOL,-1,30,6,2,0,402.2056,NEUTRAL,C24H26N4O2,CN(C)c1cc(/C=C/c2cc(/C=C/c3ccc(O)c(N(C)C)c3)ncn2)ccc1O
CHEMBL4468824,,,,0,270.05,2,3,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,270.07,None,C14H11BO5,OB1Oc2ccc(O)cc2C=C1c1ccc(O)c(O)c1
CHEMBL2436696,,,Small molecule,0,616.81,5,6,7.17,70.84,7,1,2,12,N,0.15,None,8.99,6.46,4.19,5,MOL,-1,46,7,1,2,616.3413,BASE,C39H44N4O3,O=c1cc(-c2ccccc2)oc2cc(OCCCCCN3CCN(CCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
CHEMBL4287929,,,Small molecule,0,230.22,2,14,2.22,70.67,4,2,0,2,N,0.83,8.90,None,2.22,2.21,2,MOL,-1,17,4,2,0,230.0579,NEUTRAL,C13H10O4,O=c1cc(/C=C/c2ccc(O)cc2)occ1O
CHEMBL2063873,,,Small molecule,0,469.78,3,7,6.21,78.76,4,2,1,5,N,0.44,6.65,0.87,6.36,5.32,3,MOL,-1,29,5,2,1,467.9869,NEUTRAL,C20H15Cl3N2O3S,Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(/N=C/c2cc(Cl)cc(Cl)c2O)c1
CHEMBL1208903,ISOGINKGETIN,Isoginkgetin,Small molecule,0,566.52,18,27,5.74,159.80,10,4,2,5,N,0.20,6.09,None,5.38,3.26,6,MOL,-1,42,10,4,2,566.1213,ACID,C32H22O10,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4OC)c3o2)cc1
CHEMBL4225721,,,Small molecule,0,435.52,2,4,3.23,75.13,6,1,0,7,N,0.61,8.83,6.93,2.71,2.66,3,MOL,-1,32,7,1,0,435.2158,NEUTRAL,C25H29N3O4,COc1ccc(CCC(=O)N2CCN(Cc3ccc(O)c4ncccc34)CC2)cc1OC
CHEMBL3330744,,,Small molecule,0,537.67,2,4,8.99,76.60,7,0,2,6,N,0.20,None,None,8.84,8.84,6,MOL,-1,39,5,0,2,537.1082,NEUTRAL,C32H19N5S2,N#CC(C#N)=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)s1
CHEMBL2402068,,,Small molecule,0,395.89,2,3,5.85,50.72,4,2,1,7,N,0.49,8.66,3.76,5.50,5.47,3,MOL,-1,28,4,2,1,395.1288,NEUTRAL,C23H22ClNO3,COc1cc(/C=C/c2ccc(NCc3cc(Cl)ccc3O)cc2)cc(OC)c1
CHEMBL4552250,,,,0,602.82,6,9,5.94,105.14,6,4,2,20,N,0.09,7.77,9.96,5.48,3.73,3,MOL,-1,44,8,4,2,602.3832,BASE,C36H50N4O4,CN(CCCCCCNC(=O)c1cc(O)c(C(=O)NCCCCCCN(C)Cc2ccccc2)cc1O)Cc1ccccc1
CHEMBL524114,,,Small molecule,0,389.24,1,1,5.27,16.38,2,0,1,3,N,0.57,None,4.76,5.43,5.43,3,MOL,-1,21,2,0,1,389.0277,NEUTRAL,C18H16INO,CN(C)c1ccc(/C=C/c2cc3cc(I)ccc3o2)cc1
CHEMBL1744464,,,Small molecule,0,268.31,2,2,2.06,75.28,6,1,0,2,N,0.76,8.94,2.81,1.90,1.89,3,MOL,-1,19,6,1,0,256.096,NEUTRAL,C13H12N4O2,[3H]C([3H])([3H])N(c1ncc(-c2nc3ccc(O)cc3o2)cn1)C([3H])([3H])[3H]
CHEMBL4455722,,,,0,288.11,2,3,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,288.0958,None,C18H13BO3,OB1Oc2ccc3ccccc3c2C=C1c1ccc(O)cc1
CHEMBL3297746,,,Small molecule,0,316.26,1,11,2.29,120.36,7,4,0,2,N,0.54,6.54,None,1.62,0.70,3,MOL,-1,23,7,4,0,316.0583,NEUTRAL,C16H12O7,COc1c(-c2ccc(O)c(O)c2)oc2c(O)c(O)ccc2c1=O
CHEMBL3594076,,,Small molecule,0,298.3,2,2,2.87,98.60,5,4,0,3,N,0.60,8.80,2.20,2.81,2.79,3,MOL,-1,22,6,4,0,298.0954,NEUTRAL,C16H14N2O4,COc1cc(-c2cc(-c3c(O)cccc3O)[nH]n2)ccc1O
CHEMBL2408103,,,Small molecule,0,339.39,3,3,3.44,75.63,4,2,0,7,N,0.60,7.10,None,4.03,3.57,2,MOL,-1,25,5,2,0,339.1471,NEUTRAL,C20H21NO4,CCCNC(=O)c1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1
CHEMBL3286982,,,Small molecule,0,414.87,2,2,3.35,73.06,7,1,0,4,N,0.55,9.19,None,4.29,4.29,4,MOL,-1,28,6,1,0,414.0441,NEUTRAL,C20H15ClN2O4S,COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(OC)c1O
CHEMBL2402067,,,Small molecule,0,404.51,9,22,5.26,53.96,5,2,1,8,N,0.50,10.03,5.67,5.00,4.99,3,MOL,-1,30,5,2,1,404.21,NEUTRAL,C25H28N2O3,COc1cc(/C=C/c2ccc(NCc3cc(N(C)C)ccc3O)cc2)cc(OC)c1
CHEMBL3819454,,,Small molecule,0,484.6,5,7,6.06,40.62,4,0,1,5,N,0.26,None,8.34,6.72,5.73,4,MOL,-1,37,4,0,1,484.2151,NEUTRAL,C33H28N2O2,O=C1C(=Cc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C(=O)c2ccccc21
CHEMBL3286987,,,Small molecule,0,395.44,2,2,2.40,85.95,8,1,0,4,N,0.57,9.19,4.37,2.99,2.98,4,MOL,-1,28,7,1,0,395.094,NEUTRAL,C20H17N3O4S,COc1cc(/C=c2\sc3nc(-c4ccncc4C)cn3c2=O)cc(OC)c1O
CHEMBL2436703,,,Small molecule,0,618.78,8,15,6.48,91.07,8,2,2,11,N,0.16,7.26,8.96,4.16,3.62,5,MOL,-1,46,8,2,2,618.3206,BASE,C38H42N4O4,O=c1cc(-c2ccccc2)oc2cc(OCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cc(O)c12
CHEMBL3814189,,,Small molecule,0,268.3,1,2,2.96,63.83,4,2,0,3,N,0.77,None,6.78,3.21,3.12,3,MOL,-1,20,4,3,0,268.1124,NEUTRAL,C15H13FN4,Nc1nc(NCc2ccc(F)cc2)nc2ccccc12
CHEMBL3814324,,,Small molecule,0,280.33,1,2,2.83,73.06,5,2,0,4,N,0.77,None,6.78,2.91,2.82,3,MOL,-1,21,5,3,0,280.1324,NEUTRAL,C16H16N4O,COc1cccc(CNc2nc(N)c3ccccc3n2)c1
CHEMBL236192,,,Small molecule,0,526.1,3,4,3.33,90.39,6,1,1,8,N,0.56,None,7.02,2.85,2.70,1,MOL,-1,35,8,1,1,525.2064,NEUTRAL,C25H36ClN3O5S,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCCO)CC1
CHEMBL4292488,,,Small molecule,0,248.66,2,3,3.17,50.44,3,1,0,2,N,0.89,9.39,None,3.13,3.12,2,MOL,-1,17,3,1,0,248.024,NEUTRAL,C13H9ClO3,O=c1cc(/C=C/c2ccc(Cl)cc2)occ1O
CHEMBL3741529,,,Small molecule,0,491.59,1,2,3.21,88.18,5,1,0,0,N,0.60,13.26,None,2.06,2.06,1,MOL,-1,36,8,1,0,491.242,NEUTRAL,C28H33N3O5,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)N(C)C3=O)C(=O)Nc1cc2c(cc15)OC(C)(C)C=CO2
CHEMBL248327,,,Small molecule,0,373.46,1,1,4.92,77.41,5,4,0,6,N,0.46,9.42,5.33,4.24,4.23,3,MOL,-1,28,5,4,0,373.179,NEUTRAL,C23H23N3O2,CNc1cc(/C=C/c2cccc(/C=C/c3ccc(O)c(NC)c3)n2)ccc1O
CHEMBL247728,,,Small molecule,0,418.49,1,1,4.92,75.05,6,2,0,7,N,0.57,9.16,7.97,4.76,4.40,3,MOL,-1,31,6,2,0,418.1893,NEUTRAL,C25H26N2O4,COc1cc(/C=C/c2cc(N(C)C)cc(/C=C/c3ccc(O)c(OC)c3)n2)ccc1O
CHEMBL3814383,,,Small molecule,0,284.75,1,2,3.48,63.83,4,2,0,3,N,0.77,None,6.86,3.67,3.56,3,MOL,-1,20,4,3,0,284.0829,NEUTRAL,C15H13ClN4,Nc1nc(NCc2cccc(Cl)c2)c2ccccc2n1
CHEMBL3593279,,,Small molecule,0,668.58,5,8,6.78,69.32,7,0,2,7,N,0.17,None,None,2.74,2.74,5,MOL,-1,38,7,0,2,541.1363,NEUTRAL,C29H25IN4O3S2,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccc(Oc3no[n+]([O-])c3-c3ccccc3)cc21.[I-]
CHEMBL3330742,,,Small molecule,0,575.72,2,4,8.05,60.93,6,0,2,6,N,0.15,None,None,7.53,7.53,5,MOL,-1,41,6,0,2,575.1337,None,C33H25N3O3S2,CN1C(=O)C(=Cc2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)C(=O)N(C)C1=O
CHEMBL3330747,,,Small molecule,0,636.87,2,4,11.97,55.75,7,0,2,6,N,0.17,None,None,10.86,10.86,7,MOL,-1,45,4,0,2,636.1476,None,C38H28N4S3,CC(C)(C)n1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c2sc(-c3ccc(C=C(C#N)C#N)s3)cc21
CHEMBL3667026,,,Small molecule,0,548.39,1,1,5.24,130.36,7,3,2,11,N,0.20,3.85,None,7.41,4.16,2,MOL,-1,38,8,3,2,548.0906,ACID,C24H18F6O8,O=C(O)CCC(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1
CHEMBL115421,,,Small molecule,0,359.33,5,7,1.33,147.32,6,6,1,6,N,0.34,3.22,None,2.04,-1.41,2,MOL,-1,26,8,6,1,359.1005,ACID,C18H17NO7,O=C(/C=C/c1ccc(O)c(O)c1)N[C@H](Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL3330738,,,Small molecule,0,485.64,3,6,9.04,50.82,5,0,1,6,N,0.23,None,None,8.47,8.47,5,MOL,-1,35,3,0,1,485.102,None,C30H19N3S2,N#CC(C#N)=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1
CHEMBL4524631,,,,0,518.66,6,9,3.60,105.14,6,4,1,14,N,0.19,7.73,9.15,2.92,1.51,3,MOL,-1,38,8,4,1,518.2893,BASE,C30H38N4O4,CN(CCCNC(=O)c1cc(O)c(C(=O)NCCCN(C)Cc2ccccc2)cc1O)Cc1ccccc1
CHEMBL2402157,,,Small molecule,0,333.39,2,3,4.59,72.72,4,4,0,5,N,0.52,8.55,3.76,4.60,4.57,3,MOL,-1,25,4,4,0,333.1365,NEUTRAL,C21H19NO3,Oc1cc(O)cc(/C=C/c2ccc(NCc3ccccc3O)cc2)c1
CHEMBL4440350,,,,0,546.71,6,9,4.38,105.14,6,4,1,16,N,0.16,7.75,9.28,3.88,2.32,3,MOL,-1,40,8,4,1,546.3206,BASE,C32H42N4O4,CN(CCCCNC(=O)c1cc(O)c(C(=O)NCCCCN(C)Cc2ccccc2)cc1O)Cc1ccccc1
CHEMBL4294375,,,Small molecule,0,257.29,2,3,2.58,53.68,4,1,0,3,N,0.92,9.60,4.76,2.63,2.63,2,MOL,-1,19,4,1,0,257.1052,NEUTRAL,C15H15NO3,CN(C)c1ccc(/C=C/c2cc(=O)c(O)co2)cc1
CHEMBL4527242,,,,0,574.77,6,9,5.16,105.14,6,4,2,18,N,0.12,7.77,9.95,4.43,2.69,3,MOL,-1,42,8,4,2,574.3519,BASE,C34H46N4O4,CCN(CCCCNC(=O)c1cc(O)c(C(=O)NCCCCN(CC)Cc2ccccc2)cc1O)Cc1ccccc1
CHEMBL4465480,,,,0,1518.92,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,1517.9235,None,C77H119N19O13,CCN(CC)CCCCC(C)Nc1c2ccccc2nc2c(C(=O)NCCCO/N=C/C(=O)NCCCC[C@@H]3NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C3=O)cccc12
CHEMBL2408104,,,Small molecule,0,465.63,3,3,6.95,75.63,4,2,1,16,N,0.16,7.10,None,8.03,7.57,2,MOL,-1,34,5,2,1,465.2879,NEUTRAL,C29H39NO4,CCCCCCCCCCCCNC(=O)c1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1
CHEMBL4228621,,,Small molecule,0,452.35,2,3,4.06,56.67,4,1,0,4,N,0.61,8.83,6.98,3.87,3.81,3,MOL,-1,29,5,1,0,451.0895,NEUTRAL,C23H22BrN3O2,O=C(/C=C/c1ccc(Br)cc1)N1CCN(Cc2ccc(O)c3ncccc23)CC1
CHEMBL3667028,,,Small molecule,0,606.38,1,1,5.33,119.36,8,2,2,11,N,0.16,8.79,None,7.56,7.54,2,MOL,-1,39,8,2,2,562.1062,NEUTRAL,C25H18F6Na2O8,COC(=O)CCC(C(=O)/C=C/c1ccc([O-])c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc([O-])c(OC(F)(F)F)c1.[Na+].[Na+]
CHEMBL3589107,,,Small molecule,0,552.49,2,2,5.44,170.80,10,5,2,4,N,0.19,6.43,None,5.23,3.74,6,MOL,-1,41,10,5,2,552.1056,ACID,C31H20O10,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1-c1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O
CHEMBL3741909,,,Small molecule,0,250.3,1,3,3.47,32.67,2,0,0,2,N,0.80,None,None,3.17,3.17,2,MOL,-1,19,3,0,0,250.1106,NEUTRAL,C16H14N2O,CC1=NN(c2ccc(-c3ccccc3)cc2)C(=O)C1
CHEMBL3582126,,,Small molecule,0,342.35,2,3,1.62,107.97,6,3,0,3,N,0.78,12.62,None,0.20,0.20,2,MOL,-1,25,6,3,0,342.1103,NEUTRAL,C19H18O6,C[C@]1(O)c2ccc3c(c2C(=O)c2occ([C@@H](O)CCO)c21)CCC3=O
CHEMBL3814429,,,Small molecule,0,280.33,1,2,2.83,73.06,5,2,0,4,N,0.77,None,6.86,2.91,2.80,3,MOL,-1,21,5,3,0,280.1324,NEUTRAL,C16H16N4O,COc1cccc(CNc2nc(N)nc3ccccc23)c1
CHEMBL4553651,,,,0,634.82,6,27,5.18,123.60,8,4,2,20,N,0.10,7.67,8.88,4.46,3.44,3,MOL,-1,46,10,4,2,634.373,BASE,C36H50N4O6,CCN(CCCCNC(=O)c1cc(O)c(C(=O)NCCCCN(CC)Cc2ccccc2OC)cc1O)Cc1ccccc1OC
CHEMBL231448,,,Small molecule,0,508.04,1,1,2.98,90.39,6,1,1,7,N,0.62,None,6.72,2.90,2.82,2,MOL,-1,34,8,1,1,507.1595,NEUTRAL,C24H30ClN3O5S,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1
CHEMBL2283266,,,Small molecule,0,214.22,3,7,2.52,50.44,3,1,0,2,Y,0.84,9.58,None,2.52,2.52,2,MOL,-1,16,3,1,0,214.063,NEUTRAL,C13H10O3,O=c1cc(/C=C/c2ccccc2)occ1O
CHEMBL377324,GINKGETIN,Ginkgetin,Small molecule,0,566.52,15,41,5.74,159.80,10,4,2,5,N,0.20,6.23,None,5.38,3.85,6,MOL,-1,42,10,4,2,566.1213,ACID,C32H22O10,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1
CHEMBL3589108,,,Small molecule,0,552.49,2,2,5.86,159.80,10,4,2,5,N,0.20,6.20,None,5.39,3.48,6,MOL,-1,41,10,4,2,552.1056,ACID,C31H20O10,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1Oc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1
CHEMBL489979,,,Small molecule,0,342.24,1,1,5.43,16.38,2,0,1,3,N,0.63,None,4.76,5.27,5.27,3,MOL,-1,21,2,0,1,341.0415,NEUTRAL,C18H16BrNO,CN(C)c1ccc(/C=C/c2cc3cc(Br)ccc3o2)cc1
CHEMBL1086286,,,Small molecule,0,520.02,2,4,4.04,89.54,5,1,1,6,N,0.62,11.31,None,3.58,3.58,2,MOL,-1,33,6,1,1,519.0752,NEUTRAL,C22H24ClF2NO5S2,CCS(=O)(=O)NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL4441642,,,,0,347.18,2,3,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,347.1329,None,C20H18BNO4,CN(C)c1ccc2c3c(ccc2c1)OB(O)C(c1ccc(O)c(O)c1)=C3
CHEMBL446870,,,Small molecule,0,297.79,1,1,5.32,16.38,2,0,1,3,N,0.65,None,4.76,5.10,5.10,3,MOL,-1,21,2,0,1,297.092,NEUTRAL,C18H16ClNO,CN(C)c1ccc(/C=C/c2cc3cc(Cl)ccc3o2)cc1
CHEMBL2402073,,,Small molecule,0,384.48,2,3,5.97,46.28,3,2,1,7,N,0.39,None,3.79,5.29,5.29,4,MOL,-1,29,4,2,1,384.1838,NEUTRAL,C25H24N2O2,COc1cc(/C=C/c2ccc(NCc3c[nH]c4ccccc34)cc2)cc(OC)c1
CHEMBL2436698,,,Small molecule,0,588.75,5,6,6.39,70.84,7,1,2,10,N,0.19,None,8.93,5.49,3.56,5,MOL,-1,44,7,1,2,588.31,BASE,C37H40N4O3,O=c1cc(-c2ccccc2)oc2cc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
CHEMBL4169514,,,Small molecule,0,255.27,5,10,2.69,59.42,4,1,0,4,N,0.67,9.50,3.77,2.21,2.21,2,MOL,-1,19,4,1,0,255.0895,NEUTRAL,C15H13NO3,COc1cc(/C=C/C(=O)c2cccnc2)ccc1O
CHEMBL4166095,,,Small molecule,0,241.25,6,17,2.39,70.42,4,2,0,3,N,0.49,9.00,3.77,2.07,2.05,2,MOL,-1,18,4,2,0,241.0739,NEUTRAL,C14H11NO3,O=C(/C=C/c1ccc(O)c(O)c1)c1cccnc1
CHEMBL2408097,,,Small molecule,0,298.29,3,3,3.00,83.83,4,2,0,5,N,0.65,4.11,None,3.74,0.18,2,MOL,-1,22,5,2,0,298.0841,ACID,C17H14O5,COc1ccc(C(=O)/C=C/c2ccc(C(=O)O)cc2)c(O)c1
CHEMBL1744461,,,Small molecule,0,249.28,3,4,2.64,71.18,5,2,0,2,N,0.72,8.94,5.20,1.89,1.88,3,MOL,-1,18,5,2,0,241.0851,NEUTRAL,C13H11N3O2,[3H]N(c1ccc(-c2nc3ccc(O)cc3o2)cn1)C([3H])([3H])[3H]
CHEMBL4161947,,,Small molecule,0,565.54,5,6,4.59,112.29,11,2,2,6,N,0.28,12.44,5.86,6.10,6.09,5,MOL,-1,41,11,2,2,565.2074,NEUTRAL,C26H23F4N11,Cc1cc(N2CCN(c3nc(Nc4ccc(F)cc4)nc(Nc4cccc(C(F)(F)F)c4)n3)CC2)n2ncnc2n1
CHEMBL231248,,,Small molecule,0,560.16,1,1,5.72,70.16,5,0,2,7,N,0.41,None,9.47,5.15,3.09,2,MOL,-1,38,7,0,2,559.2272,BASE,C29H38ClN3O4S,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1
CHEMBL2059206,,,Small molecule,0,402.5,3,9,4.36,72.72,6,2,0,6,N,0.64,9.27,3.96,4.81,4.80,3,MOL,-1,30,6,2,0,402.2056,NEUTRAL,C24H26N4O2,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)c(O)c3)ncn2)cc1O
