Molecule_ChEMBL_ID,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL4444093,0,434.46,5,16,0.42,147.82,8.0,4.0,0.0,6.0,N,0.34,0.0,-0.01,4.0,MOL,-1,32.0,12.0,4.0,1.0,434.1927,NEUTRAL,C20H22N10O2,O=C(CN1CCN(CC(=O)Nc2n[nH]c3ncccc23)CC1)Nc1n[nH]c2ncccc12
CHEMBL4163412,0,364.21,5,6,5.11,62.73,5.0,2.0,1.0,4.0,N,0.67,6.26,6.26,3.0,MOL,-1,24.0,5.0,2.0,1.0,363.0454,NEUTRAL,C16H12Cl2FN5,Cc1ccc(Nc2nc(Cl)nc(Nc3ccc(F)c(Cl)c3)n2)cc1
CHEMBL4176742,0,490.88,5,18,3.36,100.26,10.0,1.0,0.0,4.0,N,0.46,4.75,4.75,4.0,MOL,-1,34.0,10.0,1.0,0.0,490.1357,NEUTRAL,C20H18ClF3N10,Cc1cc(N2CCN(c3nc(Cl)nc(Nc4cccc(C(F)(F)F)c4)n3)CC2)n2ncnc2n1
CHEMBL2059205,0,402.5,3,9,4.36,72.72,6.0,2.0,0.0,6.0,N,0.64,4.81,4.8,3.0,MOL,-1,30.0,6.0,2.0,0.0,402.2056,NEUTRAL,C24H26N4O2,CN(C)c1cc(/C=C/c2cc(/C=C/c3ccc(O)c(N(C)C)c3)ncn2)ccc1O
CHEMBL2436696,0,616.81,5,6,7.17,70.84,7.0,1.0,2.0,12.0,N,0.15,6.46,4.19,5.0,MOL,-1,46.0,7.0,1.0,2.0,616.3413,BASE,C39H44N4O3,O=c1cc(-c2ccccc2)oc2cc(OCCCCCN3CCN(CCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
CHEMBL4287929,0,230.22,2,14,2.22,70.67,4.0,2.0,0.0,2.0,N,0.83,2.22,2.21,2.0,MOL,-1,17.0,4.0,2.0,0.0,230.0579,NEUTRAL,C13H10O4,O=c1cc(/C=C/c2ccc(O)cc2)occ1O
CHEMBL2063873,0,469.78,3,7,6.21,78.76,4.0,2.0,1.0,5.0,N,0.44,6.36,5.32,3.0,MOL,-1,29.0,5.0,2.0,1.0,467.9869,NEUTRAL,C20H15Cl3N2O3S,Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(/N=C/c2cc(Cl)cc(Cl)c2O)c1
CHEMBL1208903,0,566.52,18,27,5.74,159.8,10.0,4.0,2.0,5.0,N,0.2,5.38,3.26,6.0,MOL,-1,42.0,10.0,4.0,2.0,566.1213,ACID,C32H22O10,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4OC)c3o2)cc1
CHEMBL4225721,0,435.52,2,4,3.23,75.13,6.0,1.0,0.0,7.0,N,0.61,2.71,2.66,3.0,MOL,-1,32.0,7.0,1.0,0.0,435.2158,NEUTRAL,C25H29N3O4,COc1ccc(CCC(=O)N2CCN(Cc3ccc(O)c4ncccc34)CC2)cc1OC
CHEMBL3330744,0,537.67,2,4,8.99,76.6,7.0,0.0,2.0,6.0,N,0.2,8.84,8.84,6.0,MOL,-1,39.0,5.0,0.0,2.0,537.1082,NEUTRAL,C32H19N5S2,N#CC(C#N)=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)s1
CHEMBL2402068,0,395.89,2,3,5.85,50.72,4.0,2.0,1.0,7.0,N,0.49,5.5,5.47,3.0,MOL,-1,28.0,4.0,2.0,1.0,395.1288,NEUTRAL,C23H22ClNO3,COc1cc(/C=C/c2ccc(NCc3cc(Cl)ccc3O)cc2)cc(OC)c1
CHEMBL4552250,0,602.82,6,9,5.94,105.14,6.0,4.0,2.0,20.0,N,0.09,5.48,3.73,3.0,MOL,-1,44.0,8.0,4.0,2.0,602.3832,BASE,C36H50N4O4,CN(CCCCCCNC(=O)c1cc(O)c(C(=O)NCCCCCCN(C)Cc2ccccc2)cc1O)Cc1ccccc1
CHEMBL524114,0,389.24,1,1,5.27,16.38,2.0,0.0,1.0,3.0,N,0.57,5.43,5.43,3.0,MOL,-1,21.0,2.0,0.0,1.0,389.0277,NEUTRAL,C18H16INO,CN(C)c1ccc(/C=C/c2cc3cc(I)ccc3o2)cc1
CHEMBL1744464,0,268.31,2,2,2.06,75.28,6.0,1.0,0.0,2.0,N,0.76,1.9,1.89,3.0,MOL,-1,19.0,6.0,1.0,0.0,256.096,NEUTRAL,C13H12N4O2,[3H]C([3H])([3H])N(c1ncc(-c2nc3ccc(O)cc3o2)cn1)C([3H])([3H])[3H]
CHEMBL3297746,0,316.26,1,11,2.29,120.36,7.0,4.0,0.0,2.0,N,0.54,1.62,0.7,3.0,MOL,-1,23.0,7.0,4.0,0.0,316.0583,NEUTRAL,C16H12O7,COc1c(-c2ccc(O)c(O)c2)oc2c(O)c(O)ccc2c1=O
CHEMBL3594076,0,298.3,2,2,2.87,98.6,5.0,4.0,0.0,3.0,N,0.6,2.81,2.79,3.0,MOL,-1,22.0,6.0,4.0,0.0,298.0954,NEUTRAL,C16H14N2O4,COc1cc(-c2cc(-c3c(O)cccc3O)[nH]n2)ccc1O
CHEMBL2408103,0,339.39,3,3,3.44,75.63,4.0,2.0,0.0,7.0,N,0.6,4.03,3.57,2.0,MOL,-1,25.0,5.0,2.0,0.0,339.1471,NEUTRAL,C20H21NO4,CCCNC(=O)c1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1
CHEMBL3286982,0,414.87,2,2,3.35,73.06,7.0,1.0,0.0,4.0,N,0.55,4.29,4.29,4.0,MOL,-1,28.0,6.0,1.0,0.0,414.0441,NEUTRAL,C20H15ClN2O4S,COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(OC)c1O
CHEMBL2402067,0,404.51,9,22,5.26,53.96,5.0,2.0,1.0,8.0,N,0.5,5.0,4.99,3.0,MOL,-1,30.0,5.0,2.0,1.0,404.21,NEUTRAL,C25H28N2O3,COc1cc(/C=C/c2ccc(NCc3cc(N(C)C)ccc3O)cc2)cc(OC)c1
CHEMBL3819454,0,484.6,5,7,6.06,40.62,4.0,0.0,1.0,5.0,N,0.26,6.72,5.73,4.0,MOL,-1,37.0,4.0,0.0,1.0,484.2151,NEUTRAL,C33H28N2O2,O=C1C(=Cc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C(=O)c2ccccc21
CHEMBL3286987,0,395.44,2,2,2.4,85.95,8.0,1.0,0.0,4.0,N,0.57,2.99,2.98,4.0,MOL,-1,28.0,7.0,1.0,0.0,395.094,NEUTRAL,C20H17N3O4S,COc1cc(/C=c2\sc3nc(-c4ccncc4C)cn3c2=O)cc(OC)c1O
CHEMBL2436703,0,618.78,8,15,6.48,91.07,8.0,2.0,2.0,11.0,N,0.16,4.16,3.62,5.0,MOL,-1,46.0,8.0,2.0,2.0,618.3206,BASE,C38H42N4O4,O=c1cc(-c2ccccc2)oc2cc(OCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cc(O)c12
CHEMBL3814189,0,268.3,1,2,2.96,63.83,4.0,2.0,0.0,3.0,N,0.77,3.21,3.12,3.0,MOL,-1,20.0,4.0,3.0,0.0,268.1124,NEUTRAL,C15H13FN4,Nc1nc(NCc2ccc(F)cc2)nc2ccccc12
CHEMBL3814324,0,280.33,1,2,2.83,73.06,5.0,2.0,0.0,4.0,N,0.77,2.91,2.82,3.0,MOL,-1,21.0,5.0,3.0,0.0,280.1324,NEUTRAL,C16H16N4O,COc1cccc(CNc2nc(N)c3ccccc3n2)c1
CHEMBL236192,0,526.1,3,4,3.33,90.39,6.0,1.0,1.0,8.0,N,0.56,2.85,2.7,1.0,MOL,-1,35.0,8.0,1.0,1.0,525.2064,NEUTRAL,C25H36ClN3O5S,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCCO)CC1
CHEMBL4292488,0,248.66,2,3,3.17,50.44,3.0,1.0,0.0,2.0,N,0.89,3.13,3.12,2.0,MOL,-1,17.0,3.0,1.0,0.0,248.024,NEUTRAL,C13H9ClO3,O=c1cc(/C=C/c2ccc(Cl)cc2)occ1O
CHEMBL3741529,0,491.59,1,2,3.21,88.18,5.0,1.0,0.0,0.0,N,0.6,2.06,2.06,1.0,MOL,-1,36.0,8.0,1.0,0.0,491.242,NEUTRAL,C28H33N3O5,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)N(C)C3=O)C(=O)Nc1cc2c(cc15)OC(C)(C)C=CO2
CHEMBL248327,0,373.46,1,1,4.92,77.41,5.0,4.0,0.0,6.0,N,0.46,4.24,4.23,3.0,MOL,-1,28.0,5.0,4.0,0.0,373.179,NEUTRAL,C23H23N3O2,CNc1cc(/C=C/c2cccc(/C=C/c3ccc(O)c(NC)c3)n2)ccc1O
CHEMBL247728,0,418.49,1,1,4.92,75.05,6.0,2.0,0.0,7.0,N,0.57,4.76,4.4,3.0,MOL,-1,31.0,6.0,2.0,0.0,418.1893,NEUTRAL,C25H26N2O4,COc1cc(/C=C/c2cc(N(C)C)cc(/C=C/c3ccc(O)c(OC)c3)n2)ccc1O
CHEMBL3814383,0,284.75,1,2,3.48,63.83,4.0,2.0,0.0,3.0,N,0.77,3.67,3.56,3.0,MOL,-1,20.0,4.0,3.0,0.0,284.0829,NEUTRAL,C15H13ClN4,Nc1nc(NCc2cccc(Cl)c2)c2ccccc2n1
CHEMBL3593279,0,668.58,5,8,6.78,69.32,7.0,0.0,2.0,7.0,N,0.17,2.74,2.74,5.0,MOL,-1,38.0,7.0,0.0,2.0,541.1363,NEUTRAL,C29H25IN4O3S2,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccc(Oc3no[n+]([O-])c3-c3ccccc3)cc21.[I-]
CHEMBL3330742,0,575.72,2,4,8.05,60.93,6.0,0.0,2.0,6.0,N,0.15,7.53,7.53,5.0,MOL,-1,41.0,6.0,0.0,2.0,575.1337,None,C33H25N3O3S2,CN1C(=O)C(=Cc2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)C(=O)N(C)C1=O
CHEMBL3330747,0,636.87,2,4,11.97,55.75,7.0,0.0,2.0,6.0,N,0.17,10.86,10.86,7.0,MOL,-1,45.0,4.0,0.0,2.0,636.1476,None,C38H28N4S3,CC(C)(C)n1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c2sc(-c3ccc(C=C(C#N)C#N)s3)cc21
CHEMBL3667026,0,548.39,1,1,5.24,130.36,7.0,3.0,2.0,11.0,N,0.2,7.41,4.16,2.0,MOL,-1,38.0,8.0,3.0,2.0,548.0906,ACID,C24H18F6O8,O=C(O)CCC(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1
CHEMBL115421,0,359.33,5,7,1.33,147.32,6.0,6.0,1.0,6.0,N,0.34,2.04,-1.41,2.0,MOL,-1,26.0,8.0,6.0,1.0,359.1005,ACID,C18H17NO7,O=C(/C=C/c1ccc(O)c(O)c1)N[C@H](Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL3330738,0,485.64,3,6,9.04,50.82,5.0,0.0,1.0,6.0,N,0.23,8.47,8.47,5.0,MOL,-1,35.0,3.0,0.0,1.0,485.102,None,C30H19N3S2,N#CC(C#N)=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1
CHEMBL4524631,0,518.66,6,9,3.6,105.14,6.0,4.0,1.0,14.0,N,0.19,2.92,1.51,3.0,MOL,-1,38.0,8.0,4.0,1.0,518.2893,BASE,C30H38N4O4,CN(CCCNC(=O)c1cc(O)c(C(=O)NCCCN(C)Cc2ccccc2)cc1O)Cc1ccccc1
CHEMBL2402157,0,333.39,2,3,4.59,72.72,4.0,4.0,0.0,5.0,N,0.52,4.6,4.57,3.0,MOL,-1,25.0,4.0,4.0,0.0,333.1365,NEUTRAL,C21H19NO3,Oc1cc(O)cc(/C=C/c2ccc(NCc3ccccc3O)cc2)c1
CHEMBL4440350,0,546.71,6,9,4.38,105.14,6.0,4.0,1.0,16.0,N,0.16,3.88,2.32,3.0,MOL,-1,40.0,8.0,4.0,1.0,546.3206,BASE,C32H42N4O4,CN(CCCCNC(=O)c1cc(O)c(C(=O)NCCCCN(C)Cc2ccccc2)cc1O)Cc1ccccc1
CHEMBL4294375,0,257.29,2,3,2.58,53.68,4.0,1.0,0.0,3.0,N,0.92,2.63,2.63,2.0,MOL,-1,19.0,4.0,1.0,0.0,257.1052,NEUTRAL,C15H15NO3,CN(C)c1ccc(/C=C/c2cc(=O)c(O)co2)cc1
CHEMBL4527242,0,574.77,6,9,5.16,105.14,6.0,4.0,2.0,18.0,N,0.12,4.43,2.69,3.0,MOL,-1,42.0,8.0,4.0,2.0,574.3519,BASE,C34H46N4O4,CCN(CCCCNC(=O)c1cc(O)c(C(=O)NCCCCN(CC)Cc2ccccc2)cc1O)Cc1ccccc1
CHEMBL2408104,0,465.63,3,3,6.95,75.63,4.0,2.0,1.0,16.0,N,0.16,8.03,7.57,2.0,MOL,-1,34.0,5.0,2.0,1.0,465.2879,NEUTRAL,C29H39NO4,CCCCCCCCCCCCNC(=O)c1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1
CHEMBL4228621,0,452.35,2,3,4.06,56.67,4.0,1.0,0.0,4.0,N,0.61,3.87,3.81,3.0,MOL,-1,29.0,5.0,1.0,0.0,451.0895,NEUTRAL,C23H22BrN3O2,O=C(/C=C/c1ccc(Br)cc1)N1CCN(Cc2ccc(O)c3ncccc23)CC1
CHEMBL3667028,0,606.38,1,1,5.33,119.36,8.0,2.0,2.0,11.0,N,0.16,7.56,7.54,2.0,MOL,-1,39.0,8.0,2.0,2.0,562.1062,NEUTRAL,C25H18F6Na2O8,COC(=O)CCC(C(=O)/C=C/c1ccc([O-])c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc([O-])c(OC(F)(F)F)c1.[Na+].[Na+]
CHEMBL3589107,0,552.49,2,2,5.44,170.8,10.0,5.0,2.0,4.0,N,0.19,5.23,3.74,6.0,MOL,-1,41.0,10.0,5.0,2.0,552.1056,ACID,C31H20O10,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1-c1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O
CHEMBL3741909,0,250.3,1,3,3.47,32.67,2.0,0.0,0.0,2.0,N,0.8,3.17,3.17,2.0,MOL,-1,19.0,3.0,0.0,0.0,250.1106,NEUTRAL,C16H14N2O,CC1=NN(c2ccc(-c3ccccc3)cc2)C(=O)C1
CHEMBL3582126,0,342.35,2,3,1.62,107.97,6.0,3.0,0.0,3.0,N,0.78,0.2,0.2,2.0,MOL,-1,25.0,6.0,3.0,0.0,342.1103,NEUTRAL,C19H18O6,C[C@]1(O)c2ccc3c(c2C(=O)c2occ([C@@H](O)CCO)c21)CCC3=O
CHEMBL3814429,0,280.33,1,2,2.83,73.06,5.0,2.0,0.0,4.0,N,0.77,2.91,2.8,3.0,MOL,-1,21.0,5.0,3.0,0.0,280.1324,NEUTRAL,C16H16N4O,COc1cccc(CNc2nc(N)nc3ccccc23)c1
CHEMBL4553651,0,634.82,6,27,5.18,123.6,8.0,4.0,2.0,20.0,N,0.1,4.46,3.44,3.0,MOL,-1,46.0,10.0,4.0,2.0,634.373,BASE,C36H50N4O6,CCN(CCCCNC(=O)c1cc(O)c(C(=O)NCCCCN(CC)Cc2ccccc2OC)cc1O)Cc1ccccc1OC
CHEMBL231448,0,508.04,1,1,2.98,90.39,6.0,1.0,1.0,7.0,N,0.62,2.9,2.82,2.0,MOL,-1,34.0,8.0,1.0,1.0,507.1595,NEUTRAL,C24H30ClN3O5S,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1
CHEMBL2283266,0,214.22,3,7,2.52,50.44,3.0,1.0,0.0,2.0,Y,0.84,2.52,2.52,2.0,MOL,-1,16.0,3.0,1.0,0.0,214.063,NEUTRAL,C13H10O3,O=c1cc(/C=C/c2ccccc2)occ1O
CHEMBL377324,0,566.52,15,41,5.74,159.8,10.0,4.0,2.0,5.0,N,0.2,5.38,3.85,6.0,MOL,-1,42.0,10.0,4.0,2.0,566.1213,ACID,C32H22O10,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1
CHEMBL3589108,0,552.49,2,2,5.86,159.8,10.0,4.0,2.0,5.0,N,0.2,5.39,3.48,6.0,MOL,-1,41.0,10.0,4.0,2.0,552.1056,ACID,C31H20O10,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1Oc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1
CHEMBL489979,0,342.24,1,1,5.43,16.38,2.0,0.0,1.0,3.0,N,0.63,5.27,5.27,3.0,MOL,-1,21.0,2.0,0.0,1.0,341.0415,NEUTRAL,C18H16BrNO,CN(C)c1ccc(/C=C/c2cc3cc(Br)ccc3o2)cc1
CHEMBL1086286,0,520.02,2,4,4.04,89.54,5.0,1.0,1.0,6.0,N,0.62,3.58,3.58,2.0,MOL,-1,33.0,6.0,1.0,1.0,519.0752,NEUTRAL,C22H24ClF2NO5S2,CCS(=O)(=O)NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL446870,0,297.79,1,1,5.32,16.38,2.0,0.0,1.0,3.0,N,0.65,5.1,5.1,3.0,MOL,-1,21.0,2.0,0.0,1.0,297.092,NEUTRAL,C18H16ClNO,CN(C)c1ccc(/C=C/c2cc3cc(Cl)ccc3o2)cc1
CHEMBL2402073,0,384.48,2,3,5.97,46.28,3.0,2.0,1.0,7.0,N,0.39,5.29,5.29,4.0,MOL,-1,29.0,4.0,2.0,1.0,384.1838,NEUTRAL,C25H24N2O2,COc1cc(/C=C/c2ccc(NCc3c[nH]c4ccccc34)cc2)cc(OC)c1
CHEMBL2436698,0,588.75,5,6,6.39,70.84,7.0,1.0,2.0,10.0,N,0.19,5.49,3.56,5.0,MOL,-1,44.0,7.0,1.0,2.0,588.31,BASE,C37H40N4O3,O=c1cc(-c2ccccc2)oc2cc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
CHEMBL4169514,0,255.27,5,10,2.69,59.42,4.0,1.0,0.0,4.0,N,0.67,2.21,2.21,2.0,MOL,-1,19.0,4.0,1.0,0.0,255.0895,NEUTRAL,C15H13NO3,COc1cc(/C=C/C(=O)c2cccnc2)ccc1O
CHEMBL4166095,0,241.25,6,17,2.39,70.42,4.0,2.0,0.0,3.0,N,0.49,2.07,2.05,2.0,MOL,-1,18.0,4.0,2.0,0.0,241.0739,NEUTRAL,C14H11NO3,O=C(/C=C/c1ccc(O)c(O)c1)c1cccnc1
CHEMBL2408097,0,298.29,3,3,3.0,83.83,4.0,2.0,0.0,5.0,N,0.65,3.74,0.18,2.0,MOL,-1,22.0,5.0,2.0,0.0,298.0841,ACID,C17H14O5,COc1ccc(C(=O)/C=C/c2ccc(C(=O)O)cc2)c(O)c1
CHEMBL1744461,0,249.28,3,4,2.64,71.18,5.0,2.0,0.0,2.0,N,0.72,1.89,1.88,3.0,MOL,-1,18.0,5.0,2.0,0.0,241.0851,NEUTRAL,C13H11N3O2,[3H]N(c1ccc(-c2nc3ccc(O)cc3o2)cn1)C([3H])([3H])[3H]
CHEMBL4161947,0,565.54,5,6,4.59,112.29,11.0,2.0,2.0,6.0,N,0.28,6.1,6.09,5.0,MOL,-1,41.0,11.0,2.0,2.0,565.2074,NEUTRAL,C26H23F4N11,Cc1cc(N2CCN(c3nc(Nc4ccc(F)cc4)nc(Nc4cccc(C(F)(F)F)c4)n3)CC2)n2ncnc2n1
CHEMBL231248,0,560.16,1,1,5.72,70.16,5.0,0.0,2.0,7.0,N,0.41,5.15,3.09,2.0,MOL,-1,38.0,7.0,0.0,2.0,559.2272,BASE,C29H38ClN3O4S,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1
CHEMBL2059206,0,402.5,3,9,4.36,72.72,6.0,2.0,0.0,6.0,N,0.64,4.81,4.8,3.0,MOL,-1,30.0,6.0,2.0,0.0,402.2056,NEUTRAL,C24H26N4O2,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)c(O)c3)ncn2)cc1O
CHEMBL549959,0,322.32,3,7,2.21,84.58,5.0,1.0,0.0,0.0,N,0.8,1.34,1.34,2.0,MOL,-1,24.0,5.0,1.0,0.0,322.0841,NEUTRAL,C19H14O5,C[C@@]12c3ccc4c(c3C(=O)c3occ(c31)C(=O)C[C@H]2O)CCC4=O
CHEMBL3741643,0,239.28,1,3,2.59,37.6,3.0,0.0,0.0,2.0,Y,0.79,2.49,2.49,2.0,MOL,-1,18.0,4.0,0.0,0.0,239.1059,NEUTRAL,C14H13N3O,CC1=NN(c2ccc(-n3cccc3)cc2)C(=O)C1
CHEMBL208988,0,566.52,7,10,5.74,159.8,10.0,4.0,2.0,5.0,N,0.2,5.38,4.15,6.0,MOL,-1,42.0,10.0,4.0,2.0,566.1213,NEUTRAL,C32H22O10,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12
CHEMBL248131,0,400.52,2,3,5.57,46.94,4.0,2.0,1.0,6.0,N,0.53,6.26,6.26,3.0,MOL,-1,30.0,4.0,2.0,1.0,400.2151,NEUTRAL,C26H28N2O2,CN(C)c1ccc(/C=C/c2cccc(/C=C/c3ccc(N(C)C)c(O)c3)c2)cc1O
CHEMBL1082889,0,255.28,2,2,2.94,60.18,5.0,1.0,0.0,3.0,N,0.78,2.04,2.03,3.0,MOL,-1,19.0,5.0,1.0,0.0,255.1008,NEUTRAL,C14H13N3O2,CNc1ccc(-c2nc3ccc(OC)cc3o2)cn1
CHEMBL1084945,0,268.27,2,2,2.6,78.35,4.0,1.0,0.0,3.0,N,0.79,1.56,1.56,3.0,MOL,-1,20.0,5.0,2.0,0.0,268.0848,NEUTRAL,C15H12N2O3,COc1ccc2cc(-c3ccc(C(N)=O)nc3)oc2c1
CHEMBL3799703,0,450.49,4,4,3.93,95.98,7.0,1.0,0.0,7.0,N,0.54,3.9,3.89,3.0,MOL,-1,33.0,8.0,1.0,0.0,450.1791,NEUTRAL,C25H26N2O6,COc1ccc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC
CHEMBL231547,0,568.14,1,1,5.63,78.95,5.0,1.0,2.0,8.0,N,0.38,5.27,4.22,3.0,MOL,-1,39.0,7.0,1.0,2.0,567.1959,NEUTRAL,C30H34ClN3O4S,O=C(NC1CCN(Cc2ccccc2)CC1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1
CHEMBL4444043,0,342.38,5,13,4.63,42.74,4.0,1.0,0.0,2.0,N,0.58,3.76,3.76,4.0,MOL,-1,26.0,4.0,1.0,0.0,342.1281,NEUTRAL,C21H15FN4,Fc1ccc(C2C=C(c3cccc4ccccc34)Nc3nncn32)cc1
CHEMBL426291,0,362.27,1,2,5.58,37.3,1.0,1.0,1.0,3.0,N,0.72,5.56,2.56,2.0,MOL,-1,25.0,2.0,1.0,1.0,362.0741,ACID,C17H12F6O2,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(F)(F)F
CHEMBL2402066,0,406.44,2,3,5.1,93.86,6.0,2.0,1.0,8.0,N,0.31,4.83,4.13,3.0,MOL,-1,30.0,7.0,2.0,1.0,406.1529,NEUTRAL,C23H22N2O5,COc1cc(/C=C/c2ccc(NCc3cc([N+](=O)[O-])ccc3O)cc2)cc(OC)c1
CHEMBL4467746,0,602.73,6,9,3.91,123.6,8.0,4.0,1.0,12.0,N,0.18,3.73,3.14,3.0,MOL,-1,44.0,10.0,4.0,1.0,602.3104,NEUTRAL,C34H42N4O6,O=C(NCCCCN1CCOc2ccccc2C1)c1cc(O)c(C(=O)NCCCCN2CCOc3ccccc3C2)cc1O
CHEMBL3639383,0,406.36,1,1,4.38,83.83,5.0,2.0,0.0,7.0,N,0.53,5.16,5.03,2.0,MOL,-1,29.0,5.0,2.0,0.0,406.1028,NEUTRAL,C21H17F3O5,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(C(F)(F)F)c2)ccc1O
CHEMBL4641877,0,328.5,3,5,6.37,40.46,2.0,2.0,1.0,8.0,N,0.54,6.93,6.92,1.0,MOL,-1,24.0,2.0,2.0,1.0,328.2402,NEUTRAL,C22H32O2,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(C)cc(O)cc1O
CHEMBL4640668,0,344.5,3,8,6.07,60.69,3.0,3.0,1.0,8.0,N,0.4,6.62,6.62,1.0,MOL,-1,25.0,3.0,3.0,1.0,344.2351,NEUTRAL,C22H32O3,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(C)cc(O)c(O)c1O
CHEMBL231544,0,517.05,1,1,4.64,93.53,6.0,1.0,1.0,10.0,N,0.4,4.02,3.95,3.0,MOL,-1,35.0,8.0,1.0,1.0,516.1598,NEUTRAL,C25H29ClN4O4S,O=C(NCCCn1ccnc1)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1
CHEMBL238271,0,499.07,2,3,4.57,87.15,5.0,1.0,0.0,7.0,N,0.59,4.24,4.24,1.0,MOL,-1,33.0,7.0,1.0,0.0,498.1955,NEUTRAL,C24H35ClN2O5S,CCCC1(O)CCN(C(=O)OC2([C@H]3CCC[C@@H](CC)N3S(=O)(=O)c3ccc(Cl)cc3)CC2)C1
CHEMBL450553,0,760.98,3,6,8.21,99.7,8.0,0.0,2.0,22.0,N,0.06,7.67,4.63,4.0,MOL,-1,56.0,10.0,0.0,2.0,760.42,BASE,C46H56N4O6,CCN(CCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCCCCN(CC)Cc1ccccc1OC)C3=O)Cc1ccccc1OC
CHEMBL3741268,0,280.33,1,3,3.47,41.9,3.0,0.0,0.0,3.0,N,0.86,3.02,3.02,2.0,MOL,-1,21.0,4.0,0.0,0.0,280.1212,NEUTRAL,C17H16N2O2,COc1ccc(-c2ccc(N3N=C(C)CC3=O)cc2)cc1
CHEMBL3327247,0,497.64,5,5,6.32,84.23,5.0,2.0,1.0,10.0,N,0.2,5.97,4.63,4.0,MOL,-1,37.0,6.0,2.0,1.0,497.2678,BASE,C31H35N3O3,Cc1ccc2oc(=O)c(C(=O)NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1
CHEMBL3797363,0,450.49,4,4,3.93,95.98,7.0,1.0,0.0,7.0,N,0.54,3.9,3.89,3.0,MOL,-1,33.0,8.0,1.0,0.0,450.1791,NEUTRAL,C25H26N2O6,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC
